# Novia overland map
# contributors: LiquidSky
Name,X,Y,Z
Center, 0, 0, 0
Estgard, -334.5354, 12.39285, 299.4277
Goti, -464.5739, 19.12526, 285.0331
Skrekk, -429.6206, 20.29477, 391.9698
Valhold, -383.0393, 22.19918, 390.7905
Mud, -297.1799, 11.75236, 422.9382
Harvest, -286.9837, 13.01649, 292.1859
Noreach, -240.3279, 12.62828, 421.1443
Fortus End, 11.4327, 11.60283, 421.2862
Brittany, 127.1546, 12.09651, 106.2213
Vauban Pass, 369.4057, 20.04573, 78.81288
Desolis, 396.296, 17.24526, -52.19561
Soltown, 448.8039, 11.79514, -307.8943
Ardoris, 336.582, 12.40366, -397.1177
Etceter, -177.7664, 12.44151, -262.7976
Xenos, -381.38, 11.86884, -365.9646
Kiln, 44.56981, 13.26064, -51.26757
Yew, -95.21275, 19.44266, 233.0967
Vertas, -332.7231, 11.6191, 43.69388
Blood River, -406.7475, 12.1888, -97.12297
Aerie, -472.1723, 11.54423, -213.632
Superstion Canyon, -236.1913, 18.70173, 77.7525
Bramble, -211.833, 13.35512, 31.33644
Highvale, -192.0605, 18.85135, 97.13893
Resolute, -174.0738, 18.30734, 140.4557
Jaanaford, -164.9011, 12.6, -52.60102
